ticker,date,close_price
GOOGL,2022-02-07,137.98
GOOGL,2022-02-08,138.17
GOOGL,2022-02-09,140.35
GOOGL,2022-02-10,137.4
GOOGL,2022-02-11,133.1
GOOGL,2022-02-14,134.33
GOOGL,2022-02-15,135.41
GOOGL,2022-02-16,136.53
GOOGL,2022-02-17,131.37
GOOGL,2022-02-18,129.26
GOOGL,2022-02-22,128.67
GOOGL,2022-02-23,126.47
GOOGL,2022-02-24,131.52
GOOGL,2022-02-25,133.28
GOOGL,2022-02-28,133.87
GOOGL,2022-03-01,132.88
GOOGL,2022-03-02,133.39
GOOGL,2022-03-03,132.72
GOOGL,2022-03-04,130.75
GOOGL,2022-03-07,125.27
GOOGL,2022-03-08,125.99
GOOGL,2022-03-09,132.25
GOOGL,2022-03-10,131.27
GOOGL,2022-03-11,128.73
GOOGL,2022-03-14,124.84
GOOGL,2022-03-15,128.06
GOOGL,2022-03-16,132.11
GOOGL,2022-03-17,132.66
GOOGL,2022-03-18,134.93
GOOGL,2022-03-21,134.91
GOOGL,2022-03-22,138.64
GOOGL,2022-03-23,137.06
GOOGL,2022-03-24,140.33
GOOGL,2022-03-25,140.43
GOOGL,2022-03-28,140.21
GOOGL,2022-03-29,141.25
GOOGL,2022-03-30,140.69
GOOGL,2022-03-31,137.85
GOOGL,2022-04-01,138.92
GOOGL,2022-04-04,141.71
GOOGL,2022-04-05,139.36
GOOGL,2022-04-06,135.35
GOOGL,2022-04-07,134.69
GOOGL,2022-04-08,132.12
GOOGL,2022-04-11,127.69
GOOGL,2022-04-12,126.59
GOOGL,2022-04-13,128.75
GOOGL,2022-04-14,125.62
GOOGL,2022-04-18,126.55
GOOGL,2022-04-19,128.87
GOOGL,2022-04-20,126.91
GOOGL,2022-04-21,123.72
GOOGL,2022-04-22,118.58
GOOGL,2022-04-25,121.99
GOOGL,2022-04-26,117.61
GOOGL,2022-04-27,113.29
GOOGL,2022-04-28,117.48
GOOGL,2022-04-29,113.11
GOOGL,2022-05-02,115.56
GOOGL,2022-05-03,116.3
GOOGL,2022-05-04,121.19
GOOGL,2022-05-05,115.48
GOOGL,2022-05-06,114.73
GOOGL,2022-05-09,111.52
GOOGL,2022-05-10,113.39
GOOGL,2022-05-11,112.6
GOOGL,2022-05-12,111.85
GOOGL,2022-05-13,115.03
GOOGL,2022-05-16,113.44
GOOGL,2022-05-17,115.45
GOOGL,2022-05-18,110.92
GOOGL,2022-05-19,109.41
GOOGL,2022-05-20,107.95
GOOGL,2022-05-23,110.51
GOOGL,2022-05-24,105.04
GOOGL,2022-05-25,104.88
GOOGL,2022-05-26,106.85
GOOGL,2022-05-27,111.33
GOOGL,2022-05-31,112.76
GOOGL,2022-06-01,112.89
GOOGL,2022-06-02,116.59
GOOGL,2022-06-03,113.53
GOOGL,2022-06-06,115.79
GOOGL,2022-06-07,116.12
GOOGL,2022-06-08,116.16
GOOGL,2022-06-09,113.83
GOOGL,2022-06-10,110.18
GOOGL,2022-06-13,105.46
GOOGL,2022-06-14,105.78
GOOGL,2022-06-15,108.8
GOOGL,2022-06-16,105.1
GOOGL,2022-06-17,106.2
GOOGL,2022-06-21,110.56
GOOGL,2022-06-22,110.51
GOOGL,2022-06-23,111.26
GOOGL,2022-06-24,116.94
GOOGL,2022-06-27,114.82
GOOGL,2022-06-28,111.02
GOOGL,2022-06-29,110.72
GOOGL,2022-06-30,108.01
GOOGL,2022-07-01,107.78
GOOGL,2022-07-05,112.27
GOOGL,2022-07-06,113.56
GOOGL,2022-07-07,117.74
GOOGL,2022-07-08,118.3
GOOGL,2022-07-11,114.66
GOOGL,2022-07-12,113.02
GOOGL,2022-07-13,110.37
GOOGL,2022-07-14,109.4
GOOGL,2022-07-15,110.8
GOOGL,2022-07-18,108.07
GOOGL,2022-07-19,112.81
GOOGL,2022-07-20,112.9
GOOGL,2022-07-21,113.34
GOOGL,2022-07-22,106.95
GOOGL,2022-07-25,106.57
GOOGL,2022-07-26,104.1
GOOGL,2022-07-27,112.07
GOOGL,2022-07-28,113.22
GOOGL,2022-07-29,115.3
GOOGL,2022-08-01,113.85
GOOGL,2022-08-02,114.12
GOOGL,2022-08-03,117.04
GOOGL,2022-08-04,117.15
GOOGL,2022-08-05,116.44
GOOGL,2022-08-08,116.27
GOOGL,2022-08-09,115.6
GOOGL,2022-08-10,118.65
GOOGL,2022-08-11,117.8
GOOGL,2022-08-12,120.61
GOOGL,2022-08-15,121.01
GOOGL,2022-08-16,120.63
GOOGL,2022-08-17,118.5
GOOGL,2022-08-18,119.11
GOOGL,2022-08-19,116.18
GOOGL,2022-08-22,113.24
GOOGL,2022-08-23,112.86
GOOGL,2022-08-24,112.69
GOOGL,2022-08-25,115.62
GOOGL,2022-08-26,109.37
GOOGL,2022-08-29,108.46
GOOGL,2022-08-30,107.98
GOOGL,2022-08-31,107.27
GOOGL,2022-09-01,108.78
GOOGL,2022-09-02,106.9
GOOGL,2022-09-06,105.87
GOOGL,2022-09-07,108.49
GOOGL,2022-09-08,107.43
GOOGL,2022-09-09,109.68
GOOGL,2022-09-12,109.89
GOOGL,2022-09-13,103.4
GOOGL,2022-09-14,104.08
GOOGL,2022-09-15,102.01
GOOGL,2022-09-16,101.9
GOOGL,2022-09-19,102.16
GOOGL,2022-09-20,100.25
GOOGL,2022-09-21,98.41
GOOGL,2022-09-22,99.26
GOOGL,2022-09-23,97.87
GOOGL,2022-09-26,97.31
GOOGL,2022-09-27,96.64
GOOGL,2022-09-28,99.17
GOOGL,2022-09-29,96.56
GOOGL,2022-09-30,94.81
GOOGL,2022-10-03,97.77
GOOGL,2022-10-04,100.75
GOOGL,2022-10-05,100.54
GOOGL,2022-10-06,100.53
GOOGL,2022-10-07,97.81
GOOGL,2022-10-10,97.0
GOOGL,2022-10-11,96.33
GOOGL,2022-10-12,96.7
GOOGL,2022-10-13,98.19
GOOGL,2022-10-14,95.71
GOOGL,2022-10-17,99.09
GOOGL,2022-10-18,99.88
GOOGL,2022-10-19,98.75
GOOGL,2022-10-20,99.09
GOOGL,2022-10-21,100.24
GOOGL,2022-10-24,101.62
GOOGL,2022-10-25,103.56
GOOGL,2022-10-26,94.1
GOOGL,2022-10-27,91.41
GOOGL,2022-10-28,95.44
GOOGL,2022-10-31,93.68
GOOGL,2022-11-01,89.67
GOOGL,2022-11-02,86.21
GOOGL,2022-11-03,82.7
GOOGL,2022-11-04,85.82
GOOGL,2022-11-07,87.71
GOOGL,2022-11-08,88.12
GOOGL,2022-11-09,86.55
GOOGL,2022-11-10,93.11
GOOGL,2022-11-11,95.56
GOOGL,2022-11-14,94.86
GOOGL,2022-11-15,97.57
GOOGL,2022-11-16,97.98
GOOGL,2022-11-17,97.5
GOOGL,2022-11-18,96.57
GOOGL,2022-11-21,94.76
GOOGL,2022-11-22,96.2
GOOGL,2022-11-23,97.59
GOOGL,2022-11-25,96.6
GOOGL,2022-11-28,95.21
GOOGL,2022-11-29,94.35
GOOGL,2022-11-30,100.1
GOOGL,2022-12-01,100.1
GOOGL,2022-12-02,99.56
GOOGL,2022-12-05,98.61
GOOGL,2022-12-06,96.13
GOOGL,2022-12-07,94.11
GOOGL,2022-12-08,92.89
GOOGL,2022-12-09,92.01
GOOGL,2022-12-12,92.49
GOOGL,2022-12-13,94.79
GOOGL,2022-12-14,94.23
GOOGL,2022-12-15,90.06
GOOGL,2022-12-16,89.47
GOOGL,2022-12-19,87.66
GOOGL,2022-12-20,88.24
GOOGL,2022-12-21,88.79
GOOGL,2022-12-22,86.99
GOOGL,2022-12-23,88.45
GOOGL,2022-12-27,86.62
GOOGL,2022-12-28,85.26
GOOGL,2022-12-29,87.67
GOOGL,2022-12-30,87.45
GOOGL,2023-01-03,88.34
GOOGL,2023-01-04,87.31
GOOGL,2023-01-05,85.44
GOOGL,2023-01-06,86.57
GOOGL,2023-01-09,87.25
GOOGL,2023-01-10,87.64
